seq_idx,timestamp_us,filename,t_step,gt_x,gt_y,pred_x,pred_y,lateral_error,longitudinal_error,abs_lateral_error,abs_longitudinal_error,l2
73,1782210245120934486,1782210245120531407.png,1,0.04161042720079422,1.6478291749954224,-0.11457314342260361,1.5322253704071045,-0.15618357062339783,-0.11560380458831787,0.15618357062339783,0.11560380458831787,0.19431300461292267
73,1782210245120934486,1782210245120531407.png,2,-0.002892814576625824,3.252199172973633,-0.37081408500671387,3.1925647258758545,-0.36792126297950745,-0.05963444709777832,0.36792126297950745,0.05963444709777832,0.3727228343486786
73,1782210245120934486,1782210245120531407.png,3,-0.1273258626461029,4.85253381729126,-0.8137059211730957,4.887008190155029,-0.6863800287246704,0.03447437286376953,0.6863800287246704,0.03447437286376953,0.68724524974823
73,1782210245120934486,1782210245120531407.png,4,-0.3711535334587097,6.472169876098633,-1.5575226545333862,6.638767242431641,-1.1863691806793213,0.1665973663330078,1.1863691806793213,0.1665973663330078,1.1980093717575073
73,1782210245120934486,1782210245120531407.png,5,-0.6193727850914001,7.748871803283691,-2.651080846786499,8.299991607666016,-2.031708002090454,0.5511198043823242,2.031708002090454,0.5511198043823242,2.1051294803619385
73,1782210245120934486,1782210245120531407.png,6,-1.0440185070037842,9.321572303771973,-4.015244483947754,9.803315162658691,-2.9712259769439697,0.48174285888671875,2.9712259769439697,0.48174285888671875,3.010026693344116
74,1782210245620934486,1782210245653772407.png,1,0.030639292672276497,1.6050081253051758,-0.105174720287323,1.5572381019592285,-0.13581401109695435,-0.047770023345947266,0.13581401109695435,0.047770023345947266,0.14397020637989044
74,1782210245620934486,1782210245653772407.png,2,-0.018640272319316864,3.209726572036743,-0.3396722674369812,3.244527816772461,-0.32103198766708374,0.03480124473571777,0.32103198766708374,0.03480124473571777,0.3229127824306488
74,1782210245620934486,1782210245653772407.png,3,-0.18606585264205933,4.839336395263672,-0.7516403794288635,4.961441516876221,-0.5655745267868042,0.12210512161254883,0.5655745267868042,0.12210512161254883,0.5786054134368896
74,1782210245620934486,1782210245653772407.png,4,-0.37413743138313293,6.126443386077881,-1.4562617540359497,6.7277398109436035,-1.0821243524551392,0.6012964248657227,1.0821243524551392,0.6012964248657227,1.237962245941162
74,1782210245620934486,1782210245653772407.png,5,-0.724798858165741,7.717378616333008,-2.5111818313598633,8.411617279052734,-1.7863829135894775,0.6942386627197266,1.7863829135894775,0.6942386627197266,1.916541576385498
74,1782210245620934486,1782210245653772407.png,6,-1.1700040102005005,9.312193870544434,-3.819859266281128,9.933659553527832,-2.649855136871338,0.6214656829833984,2.649855136871338,0.6214656829833984,2.721755266189575
75,1782210246120934486,1782210246120649407.png,1,0.02112189494073391,1.6053673028945923,-0.07831432670354843,1.6009904146194458,-0.09943622350692749,-0.004376888275146484,0.09943622350692749,0.004376888275146484,0.09953250735998154
75,1782210246120934486,1782210246120649407.png,2,-0.07454317063093185,3.2407407760620117,-0.2844114303588867,3.350903034210205,-0.20986825227737427,0.11016225814819336,0.20986825227737427,0.11016225814819336,0.23702406883239746
75,1782210246120934486,1782210246120649407.png,3,-0.20598047971725464,4.5348219871521,-0.6599692106246948,5.1202778816223145,-0.4539887309074402,0.5854558944702148,0.4539887309074402,0.5854558944702148,0.7408537864685059
75,1782210246120934486,1782210246120649407.png,4,-0.4866922199726105,6.139505863189697,-1.3218958377838135,6.92875862121582,-0.8352036476135254,0.789252758026123,0.8352036476135254,0.789252758026123,1.1491236686706543
75,1782210246120934486,1782210246120649407.png,5,-0.8613532185554504,7.752185344696045,-2.340120792388916,8.652508735656738,-1.4787676334381104,0.9003233909606934,1.4787676334381104,0.9003233909606934,1.7312816381454468
75,1782210246120934486,1782210246120649407.png,6,-1.3458366394042969,9.302641868591309,-3.5989444255828857,10.203837394714355,-2.253107786178589,0.9011955261230469,2.253107786178589,0.9011955261230469,2.4266536235809326
76,1782210246620934486,1782210246588513407.png,1,-0.018794946372509003,1.6379880905151367,-0.07378076016902924,1.596313238143921,-0.05498581379652023,-0.04167485237121582,0.05498581379652023,0.04167485237121582,0.06899444013834
76,1782210246620934486,1782210246588513407.png,2,-0.08944257348775864,2.9367337226867676,-0.26792556047439575,3.3349080085754395,-0.17848297953605652,0.3981742858886719,0.17848297953605652,0.3981742858886719,0.43634727597236633
76,1782210246620934486,1782210246588513407.png,3,-0.29481399059295654,4.552680492401123,-0.6314293146133423,5.090463638305664,-0.33661532402038574,0.537783145904541,0.33661532402038574,0.537783145904541,0.6344451308250427
76,1782210246620934486,1782210246588513407.png,4,-0.5933136343955994,6.180949687957764,-1.2890851497650146,6.885542392730713,-0.6957715153694153,0.7045927047729492,0.6957715153694153,0.7045927047729492,0.990226686000824
76,1782210246620934486,1782210246588513407.png,5,-1.0044552087783813,7.7521653175354,-2.3023834228515625,8.585078239440918,-1.2979282140731812,0.8329129219055176,1.2979282140731812,0.8329129219055176,1.5421937704086304
76,1782210246620934486,1782210246588513407.png,6,-1.5267452001571655,9.25489330291748,-3.5617241859436035,10.107379913330078,-2.0349788665771484,0.8524866104125977,2.0349788665771484,0.8524866104125977,2.2063255310058594
77,1782210247120934486,1782210247120535407.png,1,0.0005135830142535269,1.3014442920684814,-0.0680018961429596,1.6070410013198853,-0.06851547956466675,0.3055967092514038,0.06851547956466675,0.3055967092514038,0.3131832182407379
77,1782210247120934486,1782210247120535407.png,2,-0.11615860462188721,2.9269254207611084,-0.2646450996398926,3.372953176498413,-0.14848649501800537,0.4460277557373047,0.14848649501800537,0.4460277557373047,0.4700946509838104
77,1782210247120934486,1782210247120535407.png,3,-0.3251088261604309,4.570314884185791,-0.6307879090309143,5.150299549102783,-0.3056790828704834,0.5799846649169922,0.3056790828704834,0.5799846649169922,0.655608057975769
77,1782210247120934486,1782210247120535407.png,4,-0.649656355381012,6.162827968597412,-1.2914003133773804,6.962646484375,-0.6417439579963684,0.7998185157775879,0.6417439579963684,0.7998185157775879,1.0254486799240112
77,1782210247120934486,1782210247120535407.png,5,-1.088925838470459,7.693089008331299,-2.3058125972747803,8.677005767822266,-1.2168867588043213,0.9839167594909668,1.2168867588043213,0.9839167594909668,1.564897894859314
